from,to,associado
01965495,04978201,1
01965495,56973785,1
01965495,56901344,1
01965495,37497562,1
01965495,02729304,1
01965495,14334634,1
01965495,24090419,1
01965495,18124153,1
01965495,54149287,1
01965495,83577494,1
01965495,32795299,1
25155908,28648070,1
25155908,26845303,1
25155908,55456927,1
04101986,55312915,1
04101986,38006053,1
33850897,44470034,1
33850897,57901736,1
33850897,54007941,1
33850897,42084429,1
33850897,54012325,1
30060978,47694918,1
30060978,40649910,1
28592039,30797118,1
28592039,37894564,1
28592039,47214336,1
28592039,49275814,1
28592039,54619214,1
08438379,10482140,1
08438379,24585147,1
08438379,43976615,1
08438379,83310292,1
08438379,58279901,1
08438379,13755682,1
08438379,18111277,1
08438379,83333237,1
08438379,09071847,1
08438379,22959779,1
52228257,55534246,1
29629465,57211830,1
27568493,45589185,1
15758378,36498730,1
42507899,52610053,1
42507899,50965558,1
42507899,53571951,1
42507899,55127081,1
03970826,15255821,1
03970826,04740841,1
03970826,07081633,1
03970826,20747693,1
03970826,17844808,1
05024200,46734773,1
31975245,44564204,1
31975245,34889238,1
31975245,44166548,1
28151393,34938447,1
28151393,45146782,1
28151393,37305998,1
28151393,31007938,1
28151393,56299393,1
03516881,15321276,1
03516881,10559828,1
03516881,19369622,1
23322870,55569173,1
23322870,30944772,1
23322870,42456738,1
23322870,51496129,1
23322870,48722769,1
23322870,24197682,1
23322870,29118884,1
23322870,48057302,1
23322870,57288974,1
23322870,57843588,1
30534814,30874272,1
30534814,52202571,1
30534814,49356704,1
30534814,52262984,1
26666570,83342162,1
26666570,51354213,1
26666570,41034185,1
26666570,28809856,1
26666570,28298039,1
26666570,34612325,1
05234473,40341393,1
05234473,13123494,1
05234473,16365944,1
05234473,13424484,1
55775552,56660430,1
06990599,08438379,1
06990599,10482140,1
06990599,07451673,1
06990599,24585147,1
06990599,43976615,1
06990599,83310292,1
06990599,58279901,1
06990599,13755682,1
06990599,18111277,1
06990599,83333237,1
06990599,09071847,1
06990599,22959779,1
16631663,28530084,1
16631663,16631741,1
16631663,44592083,1
16631663,57372381,1
16631663,16739367,1
16631663,55127081,1
16631663,18983720,1
16631663,28551662,1
19332074,25201550,1
12867278,46166002,1
12867278,17474408,1
12867278,22777157,1
52725302,54972801,1
52725302,58419253,1
18548319,57169353,1
18548319,56915709,1
18548319,84189950,1
18548319,50124913,1
18548319,19954308,1
18548319,57547749,1
18548319,46423577,1
18548319,31783432,1
21940110,22860105,1
21940110,83888164,1
39350516,56901344,1
39350516,54149287,1
39350516,83577494,1
39350516,57054467,1
39927204,45907772,1
39927204,44175488,1
39329738,83650606,1
39329738,41019135,1
39329738,41307302,1
34938447,45146782,1
34938447,37305998,1
34938447,56299393,1
34834598,43275147,1
34834598,48546635,1
34834598,83367466,1
34834598,40737731,1
34834598,38307996,1
18268274,37366665,1
18268274,20474705,1
18268274,63830889,1
18268274,20335130,1
18268274,51354213,1
18268274,26666570,1
18268274,83342162,1
18268274,28298039,1
18268274,24103019,1
18268274,48256984,1
18268274,34612325,1
18268274,52644030,1
46742940,63883672,1
46742940,57589252,1
46742940,48353095,1
46742940,50018529,1
46742940,50211451,1
46742940,48705515,1
46742940,49090964,1
35512491,37682669,1
21051472,54229231,1
21051472,57363999,1
21051472,31205691,1
21051472,58246272,1
21051472,53160102,1
21051472,28118627,1
21051472,32267624,1
21051472,22993378,1
21051472,29320798,1
21051472,43011102,1
21051472,22424442,1
21051472,38651268,1
21051472,40695263,1
21051472,32203973,1
04996064,12532690,1
04996064,09529408,1
04996064,08147568,1
44564204,83315408,1
15297070,45006823,1
15297070,44639331,1
15297070,44463761,1
15297070,55600414,1
15297070,57080615,1
08838110,33373675,1
08838110,12867278,1
33678320,50944200,1
33678320,52224426,1
45724494,57243881,1
17766552,28208758,1
17766552,57583421,1
04970687,14133060,1
04970687,15297070,1
04970687,22983316,1
04970687,44069236,1
04970687,15232790,1
14373109,14603843,1
14373109,46268382,1
14373109,14625319,1
14373109,14484483,1
14373109,16455522,1
14373109,16499871,1
14373109,14376007,1
14373109,39701877,1
14373109,36357201,1
14373109,37567308,1
04996064,50965561,1
04996064,50037335,1
04996064,42226188,1
04996064,15011981,1
09145594,56915709,1
09145594,09163579,1
09145594,50124913,1
09145594,18548319,1
09145594,14631621,1
09145594,15415504,1
09145594,84189950,1
09145594,46423577,1
09145594,19954308,1
09145594,57547749,1
09145594,31783432,1
09145594,26341686,1
09145594,57169353,1
09145594,17359676,1
34693432,35072833,1
06011816,41424522,1
06011816,36015353,1
06011816,39592690,1
06011816,27910799,1
11669385,43169284,1
11669385,24765057,1
11669385,18637923,1
11669385,56070207,1
16558404,29762953,1
02809222,22581790,1
04103240,07470621,1
04103240,28759993,1
12867278,46903675,1
12867278,53066181,1
26050345,28137761,1
26050345,43712622,1
26050345,28839535,1
15255821,20747693,1
15255821,17844808,1
12703882,39701877,1
12703882,14603843,1
12703882,16499871,1
12703882,14484483,1
12703882,16455522,1
12703882,14625319,1
12703882,12703958,1
12703882,16455543,1
12703882,14376007,1
12703882,52521807,1
12703882,54048782,1
12703882,14373109,1
12703882,36357201,1
12703882,37567308,1
12703882,46268382,1
47283925,52073091,1
47283925,54898502,1
47283925,58421459,1
46975916,58218616,1
42879168,53271619,1
42879168,47768563,1
42879168,57719959,1
42879168,51784670,1
42879168,58421459,1
42879168,48780328,1
42879168,54898502,1
42879168,54758331,1
28074990,44474536,1
08154120,11060909,1
08154120,19113461,1
08154120,40067435,1
08154120,09600303,1
08154120,38628049,1
08154120,08201747,1
08154120,09657201,1
57080615,57155797,1
57080615,57354388,1
57080615,57505264,1
49778923,55572153,1
49778923,55572443,1
04933982,45746520,1
04933982,39343054,1
04933982,49475654,1
46053439,52007020,1
46053439,57155797,1
46053439,58191310,1
19072960,55088212,1
19072960,51219805,1
19072960,24117759,1
19072960,52966267,1
19072960,20703650,1
19072960,54328041,1
19072960,55074806,1
04497119,26634582,1
04497119,12049758,1
04497119,04820502,1
04497119,05278613,1
04497119,06164703,1
04497119,30047480,1
02484126,11508947,1
02484126,04623754,1
08201747,09447754,1
46883917,54979011,1
46883917,47144718,1
46883917,47768563,1
46883917,57635372,1
46883917,51404327,1
46883917,58188878,1
46883917,48534274,1
46883917,52007020,1
46883917,54344984,1
55267026,83577494,1
55267026,56973785,1
55267026,56901344,1
04914597,07919384,1
04914597,49400987,1
04914597,44564204,1
04914597,31975245,1
04914597,57851937,1
04914597,23944869,1
44273325,48925720,1
44273325,45519286,1
44273325,49915450,1
14795245,41671572,1
32203164,44139918,1
32203164,48222642,1
39701877,52521807,1
39701877,44246433,1
39701877,46268382,1
39701877,46084556,1
39701877,54048782,1
14603843,46268382,1
14603843,14625319,1
14603843,16455522,1
14603843,16499871,1
14603843,39701877,1
14603843,36357201,1
14603843,37567308,1
46182869,54602056,1
40391475,40392129,1
40391475,40651924,1
40391475,42056628,1
40391475,40392132,1
40391475,42413145,1
40392129,42413145,1
40392129,40651924,1
40392129,40392132,1
40392129,42056628,1
56081840,57628134,1
20548007,22993378,1
20548007,29320798,1
44246433,52521807,1
44246433,50560053,1
44246433,46268382,1
44246433,46084556,1
44246433,48905225,1
44246433,50473993,1
44246433,48905309,1
05095110,57795566,1
05095110,19596066,1
05095110,05147069,1
05095110,22931471,1
05095110,19468568,1
05095110,23446100,1
05095110,83919761,1
31173964,32203164,1
31173964,50545443,1
31173964,48222642,1
31173964,56060720,1
57435663,57859703,1
30106018,45738902,1
30106018,83856187,1
45514503,48063233,1
45514503,83904854,1
56915709,84189950,1
56915709,57547749,1
56915709,57169353,1
04096305,57730109,1
04096305,25239734,1
04239081,07388430,1
04239081,44376413,1
04239081,55402313,1
04239081,16995597,1
20450398,27587364,1
20450398,44752436,1
20450398,58032296,1
43664533,83919761,1
08490947,19339404,1
08490947,51511356,1
06164013,18750515,1
06164013,26233642,1
06164013,33258562,1
06164013,22960942,1
13349467,52228257,1
13349467,32800910,1
13349467,55534246,1
13349467,51310351,1
13349467,23971324,1
13349467,50180210,1
18817255,26057084,1
13759117,53745886,1
51666648,56321807,1
51666648,56908851,1
34922634,51671142,1
39558468,83338145,1
39558468,48780328,1
27471769,32434747,1
27471769,57530722,1
27471769,31211327,1
47750063,55320461,1
42456738,54149287,1
42456738,55248246,1
42456738,83577494,1
42456738,56901344,1
42456738,57462001,1
38342928,49883924,1
36634515,47604896,1
36634515,44823027,1
09303787,09687570,1
37980824,41713084,1
37980824,83904276,1
37980824,55416678,1
37980824,54498618,1
37980824,41409445,1
11126954,52833680,1
11126954,15353395,1
11126954,83367771,1
11126954,34817320,1
11126954,27960528,1
11126954,46626596,1
11126954,83303776,1
27935968,55534246,1
27935968,52228257,1
22646126,26050345,1
22646126,28137761,1
22646126,43712622,1
22646126,28839535,1
46527197,57167357,1
46527197,83319640,1
46527197,83919381,1
03031874,83332908,1
03031874,05099585,1
15321276,57839893,1
24873159,35829796,1
24873159,51944055,1
24873159,58063535,1
09475549,34834598,1
09475549,46978942,1
09475549,19112682,1
14031461,42345486,1
14031461,29377650,1
14031461,57003730,1
14031461,30733949,1
14031461,52683891,1
14031461,40582446,1
45736704,54332505,1
45736704,53722842,1
45736704,56660430,1
45736704,54885487,1
45736704,48569264,1
45736704,55775552,1
45736704,48463108,1
54496726,56348798,1
