id,setor,soma_associados,cor_node,cnae_fiscal_principal
34599837,Outros,3,yellow,4754702
83297515,Outros,2,yellow,5091201
05054671,Outros,56,yellow,4711302
09509608,Outros,7,yellow,8630501
52279393,41 - Construção de Edifícios,23,green,4120400
12094545,41 - Construção de Edifícios,18,green,4110700
20963424,Outros,4,yellow,6120501
09320398,Outros,25,yellow,4511101
26050345,41 - Construção de Edifícios,27,green,4120400
40195862,41 - Construção de Edifícios,22,green,4110700
40011155,Outros,11,yellow,4753900
05419815,41 - Construção de Edifícios,7,green,4110700
07161493,Outros,6,yellow,4711302
10826737,41 - Construção de Edifícios,16,green,4110700
44628771,Outros,6,yellow,7112000
04267390,Outros,8,yellow,4639701
14752221,41 - Construção de Edifícios,10,green,4120400
30394439,Outros,11,yellow,4511101
10824588,Outros,25,yellow,6462000
05047900,41 - Construção de Edifícios,10,green,4120400
58312931,Outros,11,yellow,6462000
07780847,Outros,4,yellow,7490104
29460787,Outros,35,yellow,6462000
44118671,42 - Obras de Infraestrutura,12,blue,4299599
53981615,Outros,14,yellow,4771701
41186603,68 - Atividades Imobiliárias,11,red,6810202
08084503,Outros,5,yellow,9602502
04895751,Outros,18,yellow,4754701
44413346,Outros,5,yellow,4744099
36093790,68 - Atividades Imobiliárias,7,red,6810201
46268382,41 - Construção de Edifícios,68,green,4110700
24249629,Outros,14,yellow,8630599
04976718,Outros,23,yellow,4731800
04295678,Outros,4,yellow,2330302
11358828,Outros,23,yellow,5611201
08036041,41 - Construção de Edifícios,11,green,4110700
15302423,68 - Atividades Imobiliárias,6,red,6810201
14028134,Outros,17,yellow,5510801
04910063,Outros,9,yellow,4721102
07481452,Outros,11,yellow,4721103
83342162,Outros,57,yellow,4511101
33678320,Outros,4,yellow,8660700
44017269,Outros,5,yellow,6462000
20246663,Outros,10,yellow,8640206
19881161,68 - Atividades Imobiliárias,11,red,6810202
04895728,Outros,5,yellow,3514000
83838839,Outros,10,yellow,4712100
23605347,Outros,11,yellow,4753900
30024558,68 - Atividades Imobiliárias,9,red,6810202
18243450,Outros,11,yellow,5223100
30859603,Outros,12,yellow,6911701
09570790,Outros,6,yellow,3811400
06106987,68 - Atividades Imobiliárias,22,red,6810202
04928297,Outros,9,yellow,4723700
55334119,Outros,5,yellow,4679699
53077471,68 - Atividades Imobiliárias,11,red,6810202
12504222,Outros,7,yellow,0220901
52001949,Outros,5,yellow,7732201
39595428,68 - Atividades Imobiliárias,5,red,6810202
05099585,Outros,4,yellow,1921700
52207979,Outros,5,yellow,7490103
48635868,41 - Construção de Edifícios,2,green,4110700
22959779,Outros,20,yellow,4530701
07863507,Outros,4,yellow,4711302
10790748,Outros,6,yellow,4772500
25128306,68 - Atividades Imobiliárias,10,red,6810202
50288425,41 - Construção de Edifícios,19,green,4110700
17180581,Outros,3,yellow,4753900
28839535,41 - Construção de Edifícios,16,green,4110700
20226275,41 - Construção de Edifícios,34,green,4110700
28887812,Outros,3,yellow,8550302
20474705,41 - Construção de Edifícios,62,green,4110700
05574132,42 - Obras de Infraestrutura,7,blue,4211101
16888835,Outros,6,yellow,4641903
05024200,41 - Construção de Edifícios,7,green,4120400
56927303,68 - Atividades Imobiliárias,12,red,6822600
27910799,Outros,8,yellow,4321500
01049694,Outros,8,yellow,9329899
83673434,41 - Construção de Edifícios,10,green,4120400
54007941,41 - Construção de Edifícios,23,green,4120400
11428241,41 - Construção de Edifícios,3,green,4110700
20442044,41 - Construção de Edifícios,2,green,4120400
84189950,Outros,38,yellow,4541201
05402904,Outros,7,yellow,4691500
13806149,42 - Obras de Infraestrutura,3,blue,4222701
13664105,41 - Construção de Edifícios,9,green,4120400
19760979,Outros,6,yellow,0115600
22445325,Outros,4,yellow,7740300
29433012,Outros,10,yellow,4712100
30060831,41 - Construção de Edifícios,7,green,4110700
18268274,Outros,28,yellow,4731800
37497562,Outros,12,yellow,4731800
05024583,Outros,38,yellow,4511104
63821433,Outros,7,yellow,7711000
17890717,Outros,5,yellow,7111100
21995320,Outros,22,yellow,4731800
11300826,41 - Construção de Edifícios,24,green,4110700
12474518,Outros,14,yellow,4921301
14055768,Outros,8,yellow,8650099
02292657,Outros,2,yellow,3104700
23179396,Outros,9,yellow,4782202
45012561,41 - Construção de Edifícios,6,green,4110700
46619378,Outros,5,yellow,8211300
22623585,Outros,3,yellow,5223100
83650606,Outros,35,yellow,4663000
28843268,42 - Obras de Infraestrutura,9,blue,4292802
03507710,Outros,4,yellow,4645101
03350922,Outros,6,yellow,8610101
09032170,41 - Construção de Edifícios,59,green,4110700
04969879,41 - Construção de Edifícios,6,green,4110700
05548482,Outros,3,yellow,7112000
04572038,Outros,6,yellow,8640202
33462289,Outros,11,yellow,8011101
05553060,41 - Construção de Edifícios,19,green,4110700
05049432,Outros,14,yellow,4644301
28572296,41 - Construção de Edifícios,3,green,4120400
34661223,Outros,12,yellow,2330301
23472709,Outros,39,yellow,4646002
04488941,41 - Construção de Edifícios,17,green,4110700
83352807,41 - Construção de Edifícios,15,green,4110700
04820684,41 - Construção de Edifícios,9,green,4120400
10771275,41 - Construção de Edifícios,16,green,4110700
39877284,Outros,4,yellow,8512100
09235877,Outros,5,yellow,7112000
63798490,Outros,6,yellow,7711000
17327944,41 - Construção de Edifícios,27,green,4120400
03347431,Outros,5,yellow,4644301
45388597,68 - Atividades Imobiliárias,26,red,6810201
46978942,Outros,5,yellow,6462000
03105233,Outros,4,yellow,4530703
24208252,Outros,12,yellow,4321500
25054717,68 - Atividades Imobiliárias,18,red,6810201
04740841,Outros,8,yellow,8888888
05035230,Outros,14,yellow,4744099
06011816,68 - Atividades Imobiliárias,30,red,6810202
27036725,68 - Atividades Imobiliárias,13,red,6810202
20747693,68 - Atividades Imobiliárias,21,red,6810202
01273619,Outros,6,yellow,1610203
13441262,41 - Construção de Edifícios,44,green,4110700
63820492,41 - Construção de Edifícios,28,green,4120400
32805191,Outros,3,yellow,4923002
83370346,Outros,8,yellow,9329899
38479011,41 - Construção de Edifícios,26,green,4120400
05458120,Outros,6,yellow,1610203
45724494,Outros,7,yellow,4511102
83318022,42 - Obras de Infraestrutura,10,blue,4211101
43797846,Outros,4,yellow,8630504
43976615,Outros,17,yellow,7711000
51576885,68 - Atividades Imobiliárias,32,red,6810201
22547519,Outros,7,yellow,5611203
19332074,68 - Atividades Imobiliárias,12,red,6810202
04832721,Outros,29,yellow,6021700
36036599,Outros,6,yellow,7112000
22924203,Outros,7,yellow,4691500
01141049,Outros,14,yellow,4631100
11060524,Outros,14,yellow,5510801
08928777,41 - Construção de Edifícios,3,green,4110700
36171778,41 - Construção de Edifícios,19,green,4120400
44376400,Outros,6,yellow,6462000
05306518,Outros,6,yellow,7119799
54032852,Outros,10,yellow,4711302
31671814,Outros,20,yellow,4712100
03577000,Outros,9,yellow,4731800
13372101,Outros,17,yellow,6491300
54290254,Outros,5,yellow,4741500
46778045,Outros,4,yellow,7490199
09423857,41 - Construção de Edifícios,47,green,4110700
14097230,68 - Atividades Imobiliárias,5,red,6822600
04139846,Outros,29,yellow,6010100
15257090,Outros,6,yellow,4639702
10300662,41 - Construção de Edifícios,10,green,4110700
17453027,Outros,4,yellow,6920601
23983251,68 - Atividades Imobiliárias,22,red,6810201
11461587,Outros,5,yellow,7911200
29466399,Outros,3,yellow,4753900
05551841,Outros,17,yellow,6493000
04996064,41 - Construção de Edifícios,34,green,4110700
02577145,Outros,15,yellow,7112000
06866718,Outros,17,yellow,4520001
48192995,Outros,5,yellow,4724500
13540164,Outros,29,yellow,1113502
28377143,Outros,4,yellow,5611201
24486972,Outros,11,yellow,4713002
01527095,Outros,8,yellow,5611203
26434833,68 - Atividades Imobiliárias,5,red,6810202
12669568,42 - Obras de Infraestrutura,9,blue,4213800
23630901,Outros,10,yellow,6911701
05063292,Outros,19,yellow,8630503
04898060,Outros,14,yellow,4744099
21250517,41 - Construção de Edifícios,6,green,4120400
38628049,41 - Construção de Edifícios,29,green,4110700
08957352,Outros,3,yellow,4754701
04910469,Outros,8,yellow,4693100
19190380,Outros,5,yellow,4712100
28753570,Outros,9,yellow,6920601
14018809,41 - Construção de Edifícios,19,green,4110700
04430102,Outros,4,yellow,6190699
25461912,42 - Obras de Infraestrutura,3,blue,4292802
28128547,Outros,11,yellow,4722902
57859703,41 - Construção de Edifícios,11,green,4120400
34818088,Outros,2,yellow,5510801
52364224,41 - Construção de Edifícios,12,green,4120400
20073264,Outros,5,yellow,4744099
05205463,Outros,24,yellow,4693100
04301722,41 - Construção de Edifícios,2,green,4110700
01532081,Outros,13,yellow,2330302
01834520,Outros,10,yellow,5030101
11344258,Outros,7,yellow,4634603
57730109,Outros,5,yellow,6462000
44609947,Outros,41,yellow,6462000
49400762,Outros,11,yellow,6619302
55954553,Outros,8,yellow,7490104
57718865,68 - Atividades Imobiliárias,3,red,6810202
57288974,41 - Construção de Edifícios,17,green,4110700
08210284,Outros,47,yellow,7311400
17671920,Outros,15,yellow,6462000
17974572,41 - Construção de Edifícios,9,green,4120400
43733001,Outros,11,yellow,7711000
00687730,Outros,6,yellow,8011101
33820664,Outros,29,yellow,6462000
09541000,Outros,4,yellow,1031700
05585926,Outros,11,yellow,7120100
34609503,42 - Obras de Infraestrutura,6,blue,4222701
47376279,Outros,15,yellow,4744099
83589358,68 - Atividades Imobiliárias,8,red,6810202
12497824,41 - Construção de Edifícios,47,green,4110700
08064221,68 - Atividades Imobiliárias,4,red,6810202
42308659,Outros,6,yellow,6201501
37808513,Outros,12,yellow,4731800
00886621,Outros,5,yellow,5510801
27444079,Outros,10,yellow,4729602
19799456,Outros,14,yellow,4731800
47433488,Outros,12,yellow,6462000
38086505,Outros,33,yellow,8610102
09597974,41 - Construção de Edifícios,14,green,4110700
36904570,Outros,10,yellow,4744099
40777482,Outros,8,yellow,6462000
03634478,Outros,7,yellow,2073800
23454611,Outros,6,yellow,4511101
04949426,41 - Construção de Edifícios,9,green,4120400
08438379,Outros,20,yellow,4511101
24723327,41 - Construção de Edifícios,2,green,4120400
00506826,Outros,31,yellow,4511101
83777342,41 - Construção de Edifícios,2,green,4120400
32007827,42 - Obras de Infraestrutura,8,blue,4299599
02148655,Outros,5,yellow,7112000
24103019,68 - Atividades Imobiliárias,28,red,6822600
20237030,41 - Construção de Edifícios,18,green,4110700
05423074,Outros,4,yellow,4754701
49451128,41 - Construção de Edifícios,2,green,4110700
49820503,Outros,8,yellow,4541206
14488131,Outros,14,yellow,8610101
36756459,Outros,4,yellow,8610102
23018199,42 - Obras de Infraestrutura,4,blue,4221903
15748437,Outros,8,yellow,4322302
38346132,Outros,3,yellow,4744099
24250973,Outros,9,yellow,7112000
34892620,Outros,13,yellow,5211799
31007938,Outros,9,yellow,6462000
04913018,Outros,6,yellow,7490101
11171191,Outros,12,yellow,4731800
56690298,Outros,5,yellow,7732202
17900840,41 - Construção de Edifícios,4,green,4120400
83650374,Outros,29,yellow,4646002
29329295,Outros,35,yellow,6462000
12867278,68 - Atividades Imobiliárias,31,red,6810202
11128119,41 - Construção de Edifícios,29,green,4120400
39380534,Outros,6,yellow,7112000
47027121,41 - Construção de Edifícios,23,green,4110700
05147069,41 - Construção de Edifícios,12,green,4120400
11317886,Outros,12,yellow,4637199
16631663,68 - Atividades Imobiliárias,22,red,6822600
29852798,Outros,2,yellow,6491300
04103240,Outros,4,yellow,4637199
63838684,Outros,2,yellow,7711000
01037427,Outros,6,yellow,2342702
04978201,Outros,24,yellow,4774100
34638098,Outros,10,yellow,4930201
32708852,41 - Construção de Edifícios,15,green,4110700
15345877,Outros,2,yellow,4930202
42754199,Outros,8,yellow,8599603
10473495,Outros,10,yellow,4511101
50042823,Outros,6,yellow,8630599
10559828,68 - Atividades Imobiliárias,21,red,6821801
18668048,Outros,5,yellow,4712100
33917788,Outros,22,yellow,5510801
50565465,41 - Construção de Edifícios,6,green,4120400
34693432,42 - Obras de Infraestrutura,10,blue,4292801
46734773,41 - Construção de Edifícios,4,green,4110700
04893996,Outros,13,yellow,4713004
10645837,Outros,28,yellow,5510801
08776680,68 - Atividades Imobiliárias,38,red,6822600
39531921,Outros,7,yellow,4781400
53994812,Outros,19,yellow,8630504
18700004,Outros,6,yellow,4761003
10538893,41 - Construção de Edifícios,9,green,4120400
34904839,41 - Construção de Edifícios,5,green,4120400
19407373,Outros,9,yellow,9430800
57103588,Outros,7,yellow,6462000
31095759,41 - Construção de Edifícios,12,green,4120400
42048940,Outros,14,yellow,4712100
14556554,41 - Construção de Edifícios,5,green,4120400
09617159,Outros,6,yellow,4645101
14373109,41 - Construção de Edifícios,64,green,4110700
40142478,68 - Atividades Imobiliárias,7,red,6810202
44292629,Outros,2,yellow,3811400
52129220,Outros,2,yellow,4530704
13979506,41 - Construção de Edifícios,4,green,4120400
01273615,Outros,6,yellow,1011201
50180210,41 - Construção de Edifícios,15,green,4110700
26666570,Outros,51,yellow,4731800
07416108,Outros,3,yellow,4754701
97519130,68 - Atividades Imobiliárias,20,red,6822600
05403944,42 - Obras de Infraestrutura,4,blue,4211101
29329396,Outros,30,yellow,6462000
45094160,Outros,6,yellow,0220901
57530722,Outros,5,yellow,2539001
14131803,41 - Construção de Edifícios,5,green,4110700
21733430,Outros,7,yellow,7490104
52228257,41 - Construção de Edifícios,16,green,4120400
41307302,68 - Atividades Imobiliárias,9,red,6810202
25155908,42 - Obras de Infraestrutura,4,blue,4211101
07593016,Outros,14,yellow,3702900
43287235,Outros,7,yellow,8630501
05303995,41 - Construção de Edifícios,2,green,4120400
57167357,Outros,10,yellow,7112000
42282295,41 - Construção de Edifícios,18,green,4110700
45146782,Outros,9,yellow,8550302
37438204,Outros,9,yellow,8630599
05856869,42 - Obras de Infraestrutura,7,blue,4211101
43114456,Outros,8,yellow,0724301
04320354,68 - Atividades Imobiliárias,27,red,6821802
08258912,Outros,9,yellow,2330301
24375252,Outros,7,yellow,4712100
04821763,41 - Construção de Edifícios,12,green,4120400
53769781,Outros,7,yellow,8129000
11050450,41 - Construção de Edifícios,5,green,4120400
11243215,41 - Construção de Edifícios,2,green,4120400
04731519,Outros,18,yellow,0151201
00877374,41 - Construção de Edifícios,11,green,4120400
15614690,Outros,7,yellow,5022002
08401854,Outros,4,yellow,4921301
29037515,Outros,11,yellow,4511101
04965984,68 - Atividades Imobiliárias,3,red,6810202
43008468,41 - Construção de Edifícios,4,green,4120400
00768793,Outros,7,yellow,4511101
04953915,Outros,5,yellow,4674500
14134894,42 - Obras de Infraestrutura,4,blue,4211101
83319640,41 - Construção de Edifícios,15,green,4110700
52157392,Outros,14,yellow,7719502
